2025-09-28 09:02:47,540 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\七色纺裤袜官方旗舰店产品质量数据.xlsx, 数据行数: 113
2025-09-28 09:02:47,540 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\七色纺运动袜官方旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,552 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\七色纺运动袜官方旗舰店产品质量数据.xlsx, 数据行数: 50
2025-09-28 09:02:47,553 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\俞兆林儿童袜业旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,572 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\俞兆林儿童袜业旗舰店产品质量数据.xlsx, 数据行数: 94
2025-09-28 09:02:47,572 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\俞兆林儿童袜子旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,596 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\俞兆林儿童袜子旗舰店产品质量数据.xlsx, 数据行数: 128
2025-09-28 09:02:47,596 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\俞兆林儿童裤袜旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,618 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\俞兆林儿童裤袜旗舰店产品质量数据.xlsx, 数据行数: 113
2025-09-28 09:02:47,618 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\俞兆林棉袜子旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,641 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\俞兆林棉袜子旗舰店产品质量数据.xlsx, 数据行数: 134
2025-09-28 09:02:47,641 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\俞兆林童袜服饰旗舰店产品质量数据.xlsx 使用引擎: openpyxl
